trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.55, 'e': 0.7864388409944022}",20,0,-55.38414502315623,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
122,False,"{'a': 0.55, 'e': 0.7848659633124134}",20,3,-67.74760380977446,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
123,False,"{'a': 0.55, 'e': 0.7832962313857886}",20,0,-96.05274197034228,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
124,False,"{'a': 0.55, 'e': 0.7817296389230171}",30,8,-123.42333000531455,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 2}",1
125,False,"{'a': 0.55, 'e': 0.780166179645171}",25,0,-56.561553479398555,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
126,False,"{'a': 0.55, 'e': 0.7786058472858807}",25,8,-50.84773078979607,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
127,False,"{'a': 0.55, 'e': 0.7770486355913089}",25,0,-130.62874633955187,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
128,False,"{'a': 0.55, 'e': 0.7754945383201263}",30,0,-101.04860278987226,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
129,False,"{'a': 0.55, 'e': 0.7739435492434861}",25,0,-15.886140494855644,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
130,False,"{'a': 0.55, 'e': 0.772395662144999}",25,17,10.313334694440417,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.55, 'e': 0.770850870820709}",20,1,-70.32339020324513,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
132,False,"{'a': 0.55, 'e': 0.7693091690790677}",30,0,-57.781079653459585,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
133,False,"{'a': 0.55, 'e': 0.7677705507409095}",25,8,-96.49944323857025,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
134,False,"{'a': 0.55, 'e': 0.7662350096394277}",20,0,-128.69746910484264,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
135,False,"{'a': 0.55, 'e': 0.7647025396201488}",20,0,-10.043297077724553,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.55, 'e': 0.7631731345409085}",20,0,-42.016865216634685,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
137,False,"{'a': 0.55, 'e': 0.7616467882718267}",35,0,-172.9832057176288,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 3}",0
138,False,"{'a': 0.55, 'e': 0.7601234946952831}",25,3,-30.108322680960516,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
139,False,"{'a': 0.55, 'e': 0.7586032477058925}",20,0,-98.89181319520998,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
140,False,"{'a': 0.55, 'e': 0.7570860412104807}",25,11,-49.2814923268186,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
141,False,"{'a': 0.55, 'e': 0.7555718691280597}",20,0,-128.56544468656392,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
142,False,"{'a': 0.55, 'e': 0.7540607253898036}",30,0,-83.14936849704178,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
143,False,"{'a': 0.55, 'e': 0.752552603939024}",20,0,-140.06147301718335,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
144,False,"{'a': 0.55, 'e': 0.751047498731146}",25,0,-58.80767678759934,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.55, 'e': 0.7495454037336836}",30,0,-92.69261454544964,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
146,False,"{'a': 0.55, 'e': 0.7480463129262163}",20,0,-7.911624423051125,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.55, 'e': 0.7465502203003639}",35,0,-86.40322976086026,"{0: 24, 1: 3, 2: 7, 3: 0, 4: 1}",0
148,False,"{'a': 0.55, 'e': 0.7450571198597631}",30,0,-135.4523607159069,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",1
149,False,"{'a': 0.55, 'e': 0.7435670056200436}",20,0,-40.25930498807617,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.55, 'e': 0.7420798716088035}",20,0,-24.97509563882786,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
151,False,"{'a': 0.55, 'e': 0.7405957118655859}",25,15,-36.49070220081617,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
152,False,"{'a': 0.55, 'e': 0.7391145204418548}",25,0,-20.857235125510627,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
153,False,"{'a': 0.55, 'e': 0.737636291400971}",20,0,-57.85160921896896,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
154,False,"{'a': 0.55, 'e': 0.7361610188181691}",20,0,-1.23888197256379,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.55, 'e': 0.7346886967805327}",20,0,-87.71157812526681,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
156,False,"{'a': 0.55, 'e': 0.7332193193869716}",35,0,-195.74073596976152,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
157,False,"{'a': 0.55, 'e': 0.7317528807481977}",25,0,-29.64114997265714,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
158,False,"{'a': 0.55, 'e': 0.7302893749867013}",20,0,-67.1054884489091,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
159,False,"{'a': 0.55, 'e': 0.7288287962367279}",20,6,-73.73448357835981,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
